path,delay_s,tier1_latency_ms,severity,reason,repeat
synchronous,0.0,0.005,high,heart rate out of safe range (155 bpm),0
broker,0.0,0.342,high,heart rate out of safe range (155 bpm),0
synchronous,0.0,0.005,high,heart rate out of safe range (155 bpm),1
broker,0.0,0.171,high,heart rate out of safe range (155 bpm),1
synchronous,0.0,0.003,high,heart rate out of safe range (155 bpm),2
broker,0.0,0.236,high,heart rate out of safe range (155 bpm),2
synchronous,0.05,50.505,high,heart rate out of safe range (155 bpm),0
broker,0.05,0.399,high,heart rate out of safe range (155 bpm),0
synchronous,0.05,50.163,high,heart rate out of safe range (155 bpm),1
broker,0.05,0.446,high,heart rate out of safe range (155 bpm),1
synchronous,0.05,50.703,high,heart rate out of safe range (155 bpm),2
broker,0.05,0.501,high,heart rate out of safe range (155 bpm),2
synchronous,0.1,100.715,high,heart rate out of safe range (155 bpm),0
broker,0.1,0.418,high,heart rate out of safe range (155 bpm),0
synchronous,0.1,100.202,high,heart rate out of safe range (155 bpm),1
broker,0.1,0.36,high,heart rate out of safe range (155 bpm),1
synchronous,0.1,100.527,high,heart rate out of safe range (155 bpm),2
broker,0.1,0.314,high,heart rate out of safe range (155 bpm),2
synchronous,0.25,250.462,high,heart rate out of safe range (155 bpm),0
broker,0.25,0.453,high,heart rate out of safe range (155 bpm),0
synchronous,0.25,250.381,high,heart rate out of safe range (155 bpm),1
broker,0.25,0.415,high,heart rate out of safe range (155 bpm),1
synchronous,0.25,250.333,high,heart rate out of safe range (155 bpm),2
broker,0.25,0.429,high,heart rate out of safe range (155 bpm),2
synchronous,0.5,500.258,high,heart rate out of safe range (155 bpm),0
broker,0.5,0.418,high,heart rate out of safe range (155 bpm),0
synchronous,0.5,500.444,high,heart rate out of safe range (155 bpm),1
broker,0.5,0.419,high,heart rate out of safe range (155 bpm),1
synchronous,0.5,500.213,high,heart rate out of safe range (155 bpm),2
broker,0.5,0.506,high,heart rate out of safe range (155 bpm),2
